,URL,VERSION,DBLINK,SOURCE,ORGANISM,ISOLATE,ISOLATION_SOURCE,METAGENOME_SOURCE,COUNTRY
0,https://www.ncbi.nlm.nih.gov/protein/HKZ49248.1?report=genbank&log$=prottop&blast_rank=1&RID=Y2M430Z501N,HKZ49248.1,BioProject: PRJNA983538,accession DATETR010000219.1,Thermoplasmata archaeon,SMAG_U8320,soil,soil metagenome,USA
1,https://www.ncbi.nlm.nih.gov/protein/HKZ98357.1?report=genbank&log$=prottop&blast_rank=2&RID=Y2M430Z501N,HKZ98357.1,BioProject: PRJNA983538,accession DATETY010000008.1,Thermoplasmata archaeon,SMAG_U8327,soil,soil metagenome,USA
2,https://www.ncbi.nlm.nih.gov/protein/HKZ49255.1?report=genbank&log$=prottop&blast_rank=3&RID=Y2M430Z501N,HKZ49255.1,BioProject: PRJNA983538,accession DATETR010000219.1,Thermoplasmata archaeon,SMAG_U8320,soil,soil metagenome,USA
3,https://www.ncbi.nlm.nih.gov/protein/HKZ49254.1?report=genbank&log$=prottop&blast_rank=4&RID=Y2M430Z501N,HKZ49254.1,BioProject: PRJNA983538,accession DATETR010000219.1,Thermoplasmata archaeon,SMAG_U8320,soil,soil metagenome,USA
4,https://www.ncbi.nlm.nih.gov/protein/HKZ98356.1?report=genbank&log$=prottop&blast_rank=5&RID=Y2M430Z501N,HKZ98356.1,BioProject: PRJNA983538,accession DATETY010000008.1,Thermoplasmata archaeon,SMAG_U8327,soil,soil metagenome,USA
5,https://www.ncbi.nlm.nih.gov/protein/HEV8361550.1?report=genbank&log$=prottop&blast_rank=6&RID=Y2M430Z501N,HEV8361550.1,BioProject: PRJNA983538,accession DASYRW010000301.1,Candidatus Thermoplasmatota archaeon,SMAG_U4521,soil,soil metagenome,USA
6,https://www.ncbi.nlm.nih.gov/protein/MCI4331080.1?report=genbank&log$=prottop&blast_rank=7&RID=Y2M430Z501N,MCI4331080.1,BioProject: PRJNA795910,accession JAKIWG010000010.1,Thermoplasmata archaeon,AcS5-116,acidic soil,soil metagenome,United Kingdom: Scotland
7,https://www.ncbi.nlm.nih.gov/protein/HXQ93928.1?report=genbank&log$=prottop&blast_rank=8&RID=Y2M430Z501N,HXQ93928.1,BioProject: PRJNA983538,accession DATNHP010000034.1,Thermoplasmata archaeon,SMAG_U11350,soil,soil metagenome,Germany
8,https://www.ncbi.nlm.nih.gov/protein/NNN17896.1?report=genbank&log$=prottop&blast_rank=9&RID=Y2M430Z501N,NNN17896.1,BioProject: PRJNA554371,accession JABEUK010000166.1,Thermoplasmata archaeon,MAG 1,"acid mine drainage site biofilm from
                     emergence, outflow channel, and Rose Pool",mine drainage metagenome,"USA: Daniel Boone National Forest, KY"
9,https://www.ncbi.nlm.nih.gov/protein/HUZ79434.1?report=genbank&log$=prottop&blast_rank=10&RID=Y2M430Z501N,HUZ79434.1,BioProject: PRJNA983538,accession DATKQS010000009.1,Thermoplasmata archaeon,SMAG_U14008,soil,soil metagenome,Finland
10,https://www.ncbi.nlm.nih.gov/protein/HEV8050666.1?report=genbank&log$=prottop&blast_rank=11&RID=Y2M430Z501N,HEV8050666.1,BioProject: PRJNA983538,accession DASYOF010000371.1,Thermoplasmata archaeon,SMAG_U4422,soil,soil metagenome,USA
11,https://www.ncbi.nlm.nih.gov/protein/MCI4345165.1?report=genbank&log$=prottop&blast_rank=12&RID=Y2M430Z501N,MCI4345165.1,BioProject: PRJNA795910,accession JAKIWH010000001.1,Thermoplasmata archaeon,AcS5-34,acidic soil,soil metagenome,United Kingdom: Scotland
12,https://www.ncbi.nlm.nih.gov/protein/MCI4342426.1?report=genbank&log$=prottop&blast_rank=13&RID=Y2M430Z501N,MCI4342426.1,BioProject: PRJNA795910,accession JAKIWM010000085.1,Thermoplasmata archaeon,SubAcS10-31,acidic soil,soil metagenome,United Kingdom: Scotland
13,https://www.ncbi.nlm.nih.gov/protein/MCI4317128.1?report=genbank&log$=prottop&blast_rank=14&RID=Y2M430Z501N,MCI4317128.1,BioProject: PRJNA795910,accession JAKIWF010000030.1,Thermoplasmata archaeon,AcS5-109,acidic soil,soil metagenome,United Kingdom: Scotland
14,https://www.ncbi.nlm.nih.gov/protein/MCI4361513.1?report=genbank&log$=prottop&blast_rank=15&RID=Y2M430Z501N,MCI4361513.1,BioProject: PRJNA795910,accession JAKIWK010000388.1,Thermoplasmata archaeon,AcS5-86,acidic soil,soil metagenome,United Kingdom: Scotland
