,VERSION,DBLINK,SOURCE,ORGANISM,ISOLATE,ISOLATION_SOURCE,METAGENOME_SOURCE,COUNTRY
0,,,,,,,,
1,PZN94751.1,BioProject: PRJNA436342,accession QBLU01000020.1,Alphaproteobacteria bacterium,ULC179bin3,microbial mat ULC179,microbial mat metagenome,Antarctica
2,WP_182191893.1,,unclassified Colwellia,unclassified Colwellia,,,,
3,WP_183738406.1,,unclassified Janthinobacterium,unclassified Janthinobacterium,,,,
4,WP_322125684.1,,Actimicrobium sp. CCI2.3,Actimicrobium sp. CCI2.3,,,,
5,WP_144236995.1,,Glacieibacterium frigidum,Glacieibacterium frigidum,,,,
6,WP_317205310.1,,Janthinobacterium sp.,Janthinobacterium sp.,,,,
7,WP_322232362.1,,unclassified Glaciimonas,unclassified Glaciimonas,,,,
8,WP_205323122.1,,Glaciimonas sp. PAMC28666,Glaciimonas sp. PAMC28666,,,,
9,WP_168055574.1,,Glaciimonas immobilis,Glaciimonas immobilis,,,,
10,WP_315184380.1,,uncultured Albidiferax sp.,uncultured Albidiferax sp.,,,,
11,WP_176461139.1,,Janthinobacterium sp. PC23-8,Janthinobacterium sp. PC23-8,,,,
12,OYO26576.1,BioProject: PRJNA390432,accession NJGY01000004.1,Janthinobacterium sp. PC23-8,,stream sediment,,USA
13,WP_289947378.1,,Janthinobacterium sp. SUN073,Janthinobacterium sp. SUN073,,,,
14,ATD63884.1,BioProject: PRJNA407061,accession CP023422.1,Janthinobacterium svalbardensis,,fresh water,,Antarctica: fresh water
15,WP_157751068.1,,Janthinobacterium svalbardensis,Janthinobacterium svalbardensis,,,,
16,WP_180338460.1,,Janthinobacterium sp. 61,Janthinobacterium sp. 61,,,,
17,PKV44305.1,BioProject: PRJNA402414,accession PJMQ01000001.1,Janthinobacterium sp. 61,,,,USA: Lake Washington
18,TDY35503.1,BioProject: PRJNA442009,accession SORD01000001.1,Janthinobacterium sp. 75,,,,USA: Lake Washington
19,WP_166674771.1,,Janthinobacterium sp. 75,Janthinobacterium sp. 75,,,,
20,ARM65354.1,,accession KY314795.1,uncultured bacterium,,Chlamydomonas sp. ICE-MDV,,Antarctica
21,WP_168208372.1,,Janthinobacterium tructae,Janthinobacterium tructae,,,,
22,MBH1993955.1,BioProject: PRJNA488537,accession JAECQS010000005.1,Burkholderiales bacterium,AER1_4,"enrichment culture AER1 inoculated with
                     biofilm which develop in hydrocarbon contaminated
                     groundwater; aerobic enrichment culture amended with 20
                     ppm diesel fuel/ crude oil mixture (3:2, v/v) as carbon
                     and energy sources",biofilm metagenome,Hungary: Bugyi
23,QDG73948.1,BioProject: PRJNA549366,accession CP041185.1,Janthinobacterium tructae,,kidney,,South Korea: Chungbuk province
24,PIG30480.1,BioProject: PRJNA402415,accession PEFN01000001.1,Janthinobacterium sp. 35,,,,USA: Lake Washington
25,WP_180287926.1,,Janthinobacterium sp. 35,Janthinobacterium sp. 35,,,,
26,WP_219889572.1,,Janthinobacterium sp. PAMC25594,Janthinobacterium sp. PAMC25594,,,,
27,MBC7454538.1,BioProject: PRJNA552582,accession JACMQT010000356.1,Massilia sp.,LF-bin-456,glacial surface ice,glacier metagenome,"Greenland: the Little Firn glacier in the Knuths
                     Fjeld"
28,WP_282407664.1,,Janthinobacterium tructae,Janthinobacterium tructae,,,,
29,PVX36614.1,BioProject: PRJNA442012,accession QENT01000001.1,Janthinobacterium sp. 78,,,,USA: Lake Washington
30,WP_165829460.1,,Janthinobacterium sp. 78,Janthinobacterium sp. 78,,,,
31,WP_007637145.1,,Paraglaciecola psychrophila,Paraglaciecola psychrophila,,,,
32,WP_157760453.1,,Thiomicrorhabdus arctica,Thiomicrorhabdus arctica,,,,
33,WP_101200821.1,,Paraglaciecola sp. MB-3u-78,Paraglaciecola sp. MB-3u-78,,,,
34,WP_015431165.1,,Paraglaciecola psychrophila,Paraglaciecola psychrophila,,,,
35,WP_182232932.1,,Colwellia sp. MB02u-6,Colwellia sp. MB02u-6,,,,
36,MBC7620265.1,BioProject: PRJNA552582,accession JACMPB010000524.1,Rhodoferax sp.,LF-bin-29,glacial surface ice,glacier metagenome,"Greenland: the Little Firn glacier in the Knuths
                     Fjeld"
37,WP_124729460.1,,Shewanella livingstonensis,Shewanella livingstonensis,,,,
38,WP_249008489.1,,unclassified Marinobacter,unclassified Marinobacter,,,,
