,URL,VERSION,DBLINK,SOURCE,ORGANISM,ISOLATE,ISOLATION_SOURCE,METAGENOME_SOURCE,COUNTRY
0,https://www.ncbi.nlm.nih.gov/protein/MDP3103863.1?report=genbank&log$=prottop&blast_rank=1&RID=XFEP5U7R016 ,MDP3103863.1,BioProject: PRJNA700657,accession JAUYAP010000091.1,Candidatus Methanoperedens sp.,C19_concoct.bin.1,groundwater,groundwater metagenome,Canada: Alberta
1,https://www.ncbi.nlm.nih.gov/protein/MDO8873156.1?report=genbank&log$=prottop&blast_rank=2&RID=XFEP5U7R016 ,MDO8873156.1,BioProject: PRJNA700657,accession JAUSBW010000182.1,Methanoregula sp.,E9_concoct.bin.36,groundwater,groundwater metagenome,Canada: Alberta
2,https://www.ncbi.nlm.nih.gov/protein/MBU4138769.1?report=genbank&log$=prottop&blast_rank=3&RID=XFEP5U7R016 ,MBU4138769.1,BioProject: PRJNA627556,accession JAHIIK010000092.1,Euryarchaeota archaeon,KR11_S3.mb.35,Olkiluoto,groundwater metagenome,Finland
3,https://www.ncbi.nlm.nih.gov/protein/MCX6685512.1?report=genbank&log$=prottop&blast_rank=4&RID=XFEP5U7R016 ,MCX6685512.1,BioProject: PRJNA852163,accession JAPKXX010000044.1,Methanoregula sp.,LacPavin_0920_SED4_MAG_52_19,lake sediment,freshwater sediment metagenome,"France: Besse-et-Saint-Anastaise, Lac Pavin"
4,https://www.ncbi.nlm.nih.gov/protein/WP_304919595.1?report=genbank&log$=prottop&blast_rank=5&RID=XFEP5U7R01,WP_304919595.1,,Methanocalculus sp.,Methanocalculus sp.,,,,
5,https://www.ncbi.nlm.nih.gov/protein/WP_304918890.1?report=genbank&log$=prottop&blast_rank=6&RID=XFEP5U7R01,WP_304918890.1,,Methanocalculus sp.,Methanocalculus sp.,,,,
6,https://www.ncbi.nlm.nih.gov/protein/WP_304920199.1?report=genbank&log$=prottop&blast_rank=7&RID=XFEP5U7R01,WP_304920199.1,,Methanocalculus sp.,Methanocalculus sp.,,,,
7,https://www.ncbi.nlm.nih.gov/protein/MDO9325335.1?report=genbank&log$=prottop&blast_rank=8&RID=XFEP5U7R016 ,MDO9325335.1,BioProject: PRJNA700657,accession JAURWQ010000483.1,Methanoregula sp.,E10_concoct.bin.26,groundwater,groundwater metagenome,Canada: Alberta
8,https://www.ncbi.nlm.nih.gov/protein/MDP3742195.1?report=genbank&log$=prottop&blast_rank=9&RID=XFEP5U7R016 ,MDP3742195.1,BioProject: PRJNA700657,accession JAUYPK010000077.1,Candidatus Micrarchaeota archaeon,C4_metabat.bin.26,groundwater,groundwater metagenome,Canada: Alberta
9,https://www.ncbi.nlm.nih.gov/protein/MCZ7396303.1?report=genbank&log$=prottop&blast_rank=10&RID=XFEP5U7R016,MCZ7396303.1,BioProject: PRJNA866293,accession JAPZAS010000031.1,Candidatus Methanoperedens sp.,SR-VP_26_10_2019_1_100cm_44_19,sediments of a seasonal vernal pool,sediment metagenome,"USA: California, Lake County"
10,https://www.ncbi.nlm.nih.gov/protein/MDO8563700.1?report=genbank&log$=prottop&blast_rank=11&RID=XFEP5U7R016,MDO8563700.1,BioProject: PRJNA700657,accession JAUSHN010000026.1,Nanoarchaeota archaeon,E14_metabat.bin.194,groundwater,groundwater metagenome,Canada: Alberta
11,https://www.ncbi.nlm.nih.gov/protein/MDZ7745522.1?report=genbank&log$=prottop&blast_rank=12&RID=XFEP5U7R016,MDZ7745522.1,BioProject: PRJNA1023877,accession JAXHLZ010000003.1,Halobacteriales archaeon,Salar_de_Ascotan_soil_MAG_ASO38,Salar de Ascotan soil,salt pan metagenome,Chile: Atacama desert
12,https://www.ncbi.nlm.nih.gov/protein/OIO25135.1?report=genbank&log$=prottop&blast_rank=13&RID=XFEP5U7R016,OIO25135.1,BioProject: PRJNA297582,accession MNVH01000059.1,Candidatus Micrarchaeota archaeon CG1_02_55_22,CG1_02_55_22,"groundwater filtered through a a 3.0 um
                     filter and then through a 0.2 um filter",groundwater metagenome,"USA: Crystal Geyser near Green River, Utah"
